iter;T;current;best;delta;accepted;evals;move
1;28.500000;9379;9379;-494;1;2;None
2;27.075000;9379;9379;0;1;3;None
3;25.721250;9379;9379;0;1;4;None
4;24.435187;9379;9379;0;1;5;None
5;23.213428;9379;9379;0;1;6;None
6;22.052757;9379;9379;0;1;7;None
7;20.950119;9379;9379;0;1;8;None
8;19.902613;9379;9379;0;1;9;None
9;18.907482;9379;9379;0;1;10;None
10;17.962108;9379;9379;0;1;11;None
11;17.064003;9379;9379;0;1;12;None
12;16.210803;9379;9379;0;1;13;None
13;15.400262;9379;9379;0;1;14;None
14;14.630249;9379;9379;0;1;15;None
15;13.898737;9379;9379;0;1;16;None
16;13.203800;9379;9379;0;1;17;None
17;12.543610;9379;9379;0;1;18;None
18;11.916430;9379;9379;0;1;19;None
19;11.320608;9379;9379;0;1;20;None
20;10.754578;9379;9379;0;1;21;None
21;10.216849;9379;9379;0;1;22;None
22;9.706006;9379;9379;0;1;23;None
23;9.220706;9379;9379;0;1;24;None
24;8.759671;9379;9379;0;1;25;None
25;8.321687;9379;9379;0;1;26;None
26;7.905603;9379;9379;0;1;27;None
27;7.510323;9379;9379;0;1;28;None
28;7.134807;9379;9379;0;1;29;None
29;6.778066;9379;9379;0;1;30;None
30;6.439163;9379;9379;0;1;31;None
31;6.117205;9379;9379;0;1;32;None
32;5.811345;9379;9379;0;1;33;None
33;5.520777;9379;9379;0;1;34;None
34;5.244738;9379;9379;0;1;35;None
35;4.982502;9379;9379;0;1;36;None
36;4.733376;9379;9379;0;1;37;None
37;4.496708;9379;9379;0;1;38;None
38;4.271872;9379;9379;0;1;39;None
39;4.058279;9379;9379;0;1;40;None
40;3.855365;9379;9379;0;1;41;None
41;3.662596;9379;9379;0;1;42;None
42;3.479467;9379;9379;0;1;43;None
43;3.305493;9379;9379;0;1;44;None
44;3.140219;9379;9379;0;1;45;None
45;2.983208;9379;9379;0;1;46;None
46;2.834047;9379;9379;0;1;47;None
47;2.692345;9379;9379;0;1;48;None
48;2.557728;9379;9379;0;1;49;None
49;2.429841;9379;9379;0;1;50;None
50;2.308349;9379;9379;0;1;51;None
51;2.192932;9379;9379;0;1;52;None
52;2.083285;9379;9379;0;1;53;None
53;1.979121;9379;9379;0;1;54;None
54;1.880165;9379;9379;0;1;55;None
55;1.786157;9379;9379;0;1;56;None
56;1.696849;9379;9379;0;1;57;None
57;1.612006;9379;9379;0;1;58;None
58;1.531406;9379;9379;0;1;59;None
59;1.454836;9379;9379;0;1;60;None
60;1.382094;9379;9379;0;1;61;None
61;1.312989;9379;9379;0;1;62;None
62;1.247340;9379;9379;0;1;63;None
63;1.184973;9379;9379;0;1;64;None
64;1.125724;9379;9379;0;1;65;None
65;1.069438;9379;9379;0;1;66;None
66;1.015966;9379;9379;0;1;67;None
67;0.965168;9379;9379;0;1;68;None
68;0.916909;9379;9379;0;1;69;None
69;0.871064;9379;9379;0;1;70;None
70;0.827511;9379;9379;0;1;71;None
71;0.786135;9379;9379;0;1;72;None
72;0.746828;9379;9379;0;1;73;None
73;0.709487;9379;9379;0;1;74;None
74;0.674013;9379;9379;0;1;75;None
75;0.640312;9379;9379;0;1;76;None
76;0.608296;9379;9379;0;1;77;None
77;0.577882;9379;9379;0;1;78;None
78;0.548988;9379;9379;0;1;79;None
79;0.521538;9379;9379;0;1;80;None
80;0.495461;9379;9379;0;1;81;None
81;0.470688;9379;9379;0;1;82;None
82;0.447154;9379;9379;0;1;83;None
83;0.424796;9379;9379;0;1;84;None
84;0.403556;9379;9379;0;1;85;None
85;0.383378;9379;9379;0;1;86;None
86;0.364210;9379;9379;0;1;87;None
87;0.345999;9379;9379;0;1;88;None
88;0.328699;9379;9379;0;1;89;None
89;0.312264;9379;9379;0;1;90;None
90;0.296651;9379;9379;0;1;91;None
91;0.281818;9379;9379;0;1;92;None
92;0.267727;9379;9379;0;1;93;None
93;0.254341;9379;9379;0;1;94;None
94;0.241624;9379;9379;0;1;95;None
95;0.229543;9379;9379;0;1;96;None
96;0.218066;9379;9379;0;1;97;None
97;0.207162;9379;9379;0;1;98;None
98;0.196804;9379;9379;0;1;99;None
99;0.186964;9379;9379;0;1;100;None
100;0.177616;9379;9379;0;1;101;None
101;0.168735;9379;9379;0;1;102;None
102;0.160298;9379;9379;0;1;103;None
103;0.152283;9379;9379;0;1;104;None
104;0.144669;9379;9379;0;1;105;None
105;0.137436;9379;9379;0;1;106;None
106;0.130564;9379;9379;0;1;107;None
107;0.124036;9379;9379;0;1;108;None
108;0.117834;9379;9379;0;1;109;None
109;0.111942;9379;9379;0;1;110;None
110;0.106345;9379;9379;0;1;111;None
111;0.101028;9379;9379;0;1;112;None
112;0.095977;9379;9379;0;1;113;None
113;0.091178;9379;9379;0;1;114;None
114;0.086619;9379;9379;0;1;115;None
115;0.082288;9379;9379;0;1;116;None
116;0.078173;9379;9379;0;1;117;None
117;0.074265;9379;9379;0;1;118;None
118;0.070552;9379;9379;0;1;119;None
119;0.067024;9379;9379;0;1;120;None
120;0.063673;9379;9379;0;1;121;None
121;0.060489;9379;9379;0;1;122;None
122;0.057465;9379;9379;0;1;123;None
123;0.054591;9379;9379;0;1;124;None
124;0.051862;9379;9379;0;1;125;None
125;0.049269;9379;9379;0;1;126;None
126;0.046805;9379;9379;0;1;127;None
127;0.044465;9379;9379;0;1;128;None
128;0.042242;9379;9379;0;1;129;None
129;0.040130;9379;9379;0;1;130;None
130;0.038123;9379;9379;0;1;131;None
131;0.036217;9379;9379;0;1;132;None
132;0.034406;9379;9379;0;1;133;None
133;0.032686;9379;9379;0;1;134;None
134;0.031052;9379;9379;0;1;135;None
135;0.029499;9379;9379;0;1;136;None
136;0.028024;9379;9379;0;1;137;None
137;0.026623;9379;9379;0;1;138;None
138;0.025292;9379;9379;0;1;139;None
139;0.024027;9379;9379;0;1;140;None
140;0.022826;9379;9379;0;1;141;None
141;0.021685;9379;9379;0;1;142;None
142;0.020600;9379;9379;0;1;143;None
143;0.019570;9379;9379;0;1;144;None
144;0.018592;9379;9379;0;1;145;None
145;0.017662;9379;9379;0;1;146;None
146;0.016779;9379;9379;0;1;147;None
147;0.015940;9379;9379;0;1;148;None
148;0.015143;9379;9379;0;1;149;None
149;0.014386;9379;9379;0;1;150;None
150;0.013667;9379;9379;0;1;151;None
151;0.012983;9379;9379;0;1;152;None
152;0.012334;9379;9379;0;1;153;None
153;0.011717;9379;9379;0;1;154;None
154;0.011132;9379;9379;0;1;155;None
155;0.010575;9379;9379;0;1;156;None
156;0.010046;9379;9379;0;1;157;None
157;0.009544;9379;9379;0;1;158;None
158;0.009067;9379;9379;0;1;159;None
159;0.008613;9379;9379;0;1;160;None
160;0.008183;9379;9379;0;1;161;None
161;0.007774;9379;9379;0;1;162;None
162;0.007385;9379;9379;0;1;163;None
163;0.007016;9379;9379;0;1;164;None
164;0.006665;9379;9379;0;1;165;None
165;0.006332;9379;9379;0;1;166;None
166;0.006015;9379;9379;0;1;167;None
167;0.005714;9379;9379;0;1;168;None
168;0.005429;9379;9379;0;1;169;None
169;0.005157;9379;9379;0;1;170;None
170;0.004899;9379;9379;0;1;171;None
171;0.004654;9379;9379;0;1;172;None
172;0.004422;9379;9379;0;1;173;None
173;0.004201;9379;9379;0;1;174;None
174;0.003991;9379;9379;0;1;175;None
175;0.003791;9379;9379;0;1;176;None
176;0.003601;9379;9379;0;1;177;None
177;0.003421;9379;9379;0;1;178;None
178;0.003250;9379;9379;0;1;179;None
179;0.003088;9379;9379;0;1;180;None
180;0.002933;9379;9379;0;1;181;None
181;0.002787;9379;9379;0;1;182;None
182;0.002647;9379;9379;0;1;183;None
183;0.002515;9379;9379;0;1;184;None
184;0.002389;9379;9379;0;1;185;None
185;0.002270;9379;9379;0;1;186;None
186;0.002156;9379;9379;0;1;187;None
187;0.002048;9379;9379;0;1;188;None
188;0.001946;9379;9379;0;1;189;None
189;0.001849;9379;9379;0;1;190;None
190;0.001756;9379;9379;0;1;191;None
191;0.001669;9379;9379;0;1;192;None
192;0.001585;9379;9379;0;1;193;None
193;0.001506;9379;9379;0;1;194;None
194;0.001431;9379;9379;0;1;195;None
195;0.001359;9379;9379;0;1;196;None
196;0.001291;9379;9379;0;1;197;None
197;0.001227;9379;9379;0;1;198;None
198;0.001165;9379;9379;0;1;199;None
199;0.001107;9379;9379;0;1;200;None
200;0.001052;9379;9379;0;1;201;None
201;0.000999;9379;9379;0;1;202;None
