iter;T;current;best;delta;accepted;evals;move
1;28.500000;9873;9873;0;1;3;None
2;27.075000;9873;9873;0;1;5;None
3;25.721250;9873;9873;0;1;7;None
4;24.435187;9873;9873;0;1;9;None
5;23.213428;9873;9873;0;1;11;None
6;22.052757;9873;9873;0;1;13;None
7;20.950119;9751;9751;-122;1;15;None
8;19.902613;9751;9751;0;1;17;None
9;18.907482;9751;9751;0;1;19;None
10;17.962108;9751;9751;0;1;21;None
11;17.064003;9751;9751;0;1;23;None
12;16.210803;9751;9751;0;1;25;None
13;15.400262;9751;9751;0;1;27;None
14;14.630249;9751;9751;0;1;29;None
15;13.898737;9751;9751;0;1;31;None
16;13.203800;9751;9751;0;1;33;None
17;12.543610;9751;9751;0;1;35;None
18;11.916430;9751;9751;0;1;37;None
19;11.320608;9751;9751;0;1;39;None
20;10.754578;9751;9751;0;1;41;None
21;10.216849;9526;9526;-225;1;43;None
22;9.706006;9526;9526;0;1;45;None
23;9.220706;9526;9526;0;1;47;None
24;8.759671;9526;9526;0;1;49;None
25;8.321687;9154;9154;-372;1;51;None
26;7.905603;9154;9154;0;1;53;None
27;7.510323;9154;9154;0;1;55;None
28;7.134807;9154;9154;0;1;57;None
29;6.778066;9154;9154;0;1;59;None
30;6.439163;9154;9154;0;1;61;None
31;6.117205;9154;9154;0;1;63;None
32;5.811345;9154;9154;0;1;65;None
33;5.520777;9154;9154;0;1;67;None
34;5.244738;9154;9154;0;1;69;None
35;4.982502;9154;9154;0;1;71;None
36;4.733376;8780;8780;-374;1;73;None
37;4.496708;8780;8780;0;1;75;None
38;4.271872;8780;8780;0;1;77;None
39;4.058279;8780;8780;0;1;79;None
40;3.855365;8780;8780;0;1;81;None
41;3.662596;8780;8780;0;1;83;None
42;3.479467;8780;8780;0;1;85;None
43;3.305493;8780;8780;0;1;87;None
44;3.140219;8780;8780;0;1;89;None
45;2.983208;8780;8780;0;1;91;None
46;2.834047;8780;8780;0;1;93;None
47;2.692345;8780;8780;0;1;95;None
48;2.557728;8780;8780;0;1;97;None
49;2.429841;8484;8484;-296;1;99;None
50;2.308349;8484;8484;0;1;101;None
51;2.192932;8484;8484;0;1;103;None
52;2.083285;8484;8484;0;1;105;None
53;1.979121;8484;8484;0;1;107;None
54;1.880165;8484;8484;0;1;109;None
55;1.786157;8484;8484;0;1;111;None
56;1.696849;8484;8484;0;1;113;None
57;1.612006;8484;8484;0;1;115;None
58;1.531406;8484;8484;0;1;117;None
59;1.454836;8484;8484;0;1;119;None
60;1.382094;8484;8484;0;1;121;None
61;1.312989;8484;8484;0;1;123;None
62;1.247340;8484;8484;0;1;125;None
63;1.184973;8484;8484;0;1;127;None
64;1.125724;8484;8484;0;1;129;None
65;1.069438;8484;8484;0;1;131;None
66;1.015966;8484;8484;0;1;133;None
67;0.965168;8484;8484;0;1;135;None
68;0.916909;8484;8484;0;1;137;None
69;0.871064;8484;8484;0;1;139;None
70;0.827511;8484;8484;0;1;141;None
71;0.786135;8359;8359;-125;1;143;None
72;0.746828;8359;8359;0;1;145;None
73;0.709487;8359;8359;0;1;147;None
74;0.674013;8359;8359;0;1;149;None
75;0.640312;8359;8359;0;1;151;None
76;0.608296;8359;8359;0;1;153;None
77;0.577882;8359;8359;0;1;155;None
78;0.548988;8359;8359;0;1;157;None
79;0.521538;8359;8359;0;1;159;None
80;0.495461;8359;8359;0;1;161;None
81;0.470688;8359;8359;0;1;163;None
82;0.447154;8359;8359;0;1;165;None
